date,open,high,low,close,tick_volume
2026-03-12 11:31:00,5179.0,5180.34,5178.14,5180.17,
2026-03-12 11:32:00,5180.17,5180.98,5180.12,5180.7,
2026-03-12 11:33:00,5180.75,5181.1,5180.21,5180.57,
2026-03-12 11:34:00,5180.57,5181.36,5180.29,5180.82,
2026-03-12 11:35:00,5180.82,5181.73,5180.59,5181.64,
2026-03-12 11:36:00,5181.61,5181.67,5179.93,5181.31,
2026-03-12 11:37:00,5181.31,5181.78,5181.04,5181.35,
2026-03-12 11:38:00,5181.35,5181.35,5180.02,5180.56,
2026-03-12 11:39:00,5180.56,5180.81,5179.98,5180.33,
2026-03-12 11:40:00,5180.33,5181.54,5179.24,5180.3,
2026-03-12 11:41:00,5180.3,5180.54,5178.21,5178.73,
2026-03-12 11:42:00,5178.73,5180.12,5178.73,5180.12,
2026-03-12 11:43:00,5180.13,5181.35,5180.04,5181.18,
2026-03-12 11:44:00,5181.18,5181.71,5180.81,5181.22,
2026-03-12 11:45:00,5181.28,5182.93,5181.28,5181.48,
2026-03-12 11:46:00,5181.47,5181.47,5180.23,5180.29,
2026-03-12 11:47:00,5180.3,5180.3,5178.05,5178.13,
2026-03-12 11:48:00,5178.13,5178.14,5176.03,5178.11,
2026-03-12 11:49:00,5178.11,5180.18,5178.05,5179.74,
2026-03-12 11:50:00,5179.74,5180.53,5179.17,5179.34,
2026-03-12 11:51:00,5179.33,5179.95,5176.25,5176.38,
2026-03-12 11:52:00,5176.37,5177.83,5175.82,5177.7,
2026-03-12 11:53:00,5177.7,5180.36,5177.7,5178.45,
2026-03-12 11:54:00,5178.45,5179.73,5178.43,5179.03,
2026-03-12 11:55:00,5179.03,5180.12,5179.03,5180.05,
2026-03-12 11:56:00,5180.05,5180.25,5178.28,5178.29,
2026-03-12 11:57:00,5178.29,5179.05,5178.29,5178.93,
2026-03-12 11:58:00,5178.93,5178.94,5177.92,5178.2,
2026-03-12 11:59:00,5178.2,5178.87,5177.84,5178.1,
2026-03-12 12:00:00,5178.1,5180.23,5177.86,5178.34,
2026-03-12 12:01:00,5178.33,5180.43,5177.87,5178.3,
2026-03-12 12:02:00,5178.3,5179.49,5178.3,5178.51,
2026-03-12 12:03:00,5178.51,5179.35,5177.35,5177.55,
